,rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name,geometry
267,68,17241,0,107,121,4,5,250.12155,38.283047,0.0021787187866118014,1295.0590708788911,1,1.0,0.0,0.0,0.0,0.0,69,6,95687.37,1814967,Tyler Forks,"LINESTRING (691979.5887307972 5139280.6, 691981.9652258392 5139356.8)"
268,69,17081,0,106,121,4,6,124.97299,38.29455,0.0029472788487686827,1294.5141263556718,1,1.0,0.0,0.0,0.0,0.0,70,6,95744.53,1814967,Tyler Forks,"LINESTRING (691981.9652258392 5139356.8, 691982.9392497118 5139388.031127263, 691984.4 5139394.718911582)"
269,70,17082,0,106,122,4,7,128.55511,38.302326,0.004302169593934437,1294.1457960998498,1,1.0,0.0,0.0,0.0,0.0,71,6,95783.164,1814967,Tyler Forks,"LINESTRING (691984.4 5139394.718911582, 691992.7613807314 5139433)"
270,71,16922,0,105,122,4,8,252.12965,38.314,0.001827190303241088,1293.5927301940444,1,1.0,0.0,0.0,0.0,0.0,72,6,95841.18,1814967,Tyler Forks,"LINESTRING (691992.7613807314 5139433, 691996.3491047933 5139449.425753885, 691992.0608522563 5139507.733174988, 691991.4977043865 5139509.2)"
271,72,16762,0,104,122,4,9,64.97041,38.32372,0.005845622084669808,1293.1320413352228,1,1.0,0.0,0.0,0.0,0.0,73,6,95889.51,1814967,Tyler Forks,"LINESTRING (691991.4977043865 5139509.2, 691984.4 5139527.687311916)"
272,73,16761,0,104,121,4,10,196.4471,38.33173,0.002502344299057997,1292.752248852924,1,1.0,0.0,0.0,0.0,0.0,74,6,95929.35,1814967,Tyler Forks,"LINESTRING (691984.4 5139527.687311916, 691972.7721235396 5139557.974312801, 691973.4739573059 5139585.4)"
273,74,16601,0,103,121,4,11,141.91461,38.3421,0.002757590023249291,1292.2606705777318,1,1.0,0.0,0.0,0.0,0.0,75,6,95980.914,1814967,Tyler Forks,"LINESTRING (691973.4739573059 5139585.4, 691973.9438000126 5139603.760129882, 691984.4 5139626.3466673205)"
274,75,16602,0,103,122,4,12,127.45314,38.35035,0.004572572625702864,1291.8693282600336,1,1.0,0.0,0.0,0.0,0.0,76,6,96021.97,1814967,Tyler Forks,"LINESTRING (691984.4 5139626.3466673205, 692000.7201596401 5139661.6)"
275,76,16442,0,102,122,4,13,273.69043,38.362633,0.002942351376316787,1291.2865395198264,1,1.0,0.0,0.0,0.0,0.0,77,6,96083.1,1814967,Tyler Forks,"LINESTRING (692000.7201596401 5139661.6, 692002.5780688929 5139665.613287518, 692006.4376699061 5139706.375273417, 691984.9761182806 5139737.8)"
276,77,16281,0,101,121,4,14,280.6066,38.379807,0.0029103449682822617,1290.4812461073507,1,1.0,0.0,0.0,0.0,0.0,78,6,96168.59,1814967,Tyler Forks,"LINESTRING (691984.4 5139738.643571787, 691963.9215045318 5139768.628874441, 691953.0811424103 5139791.175872684, 691950.3836568656 5139796.16979547, 691945.359933745 5139814)"
277,78,16121,0,100,121,4,15,281.51642,38.397007,0.0020202707658882376,1289.6645841070845,1,1.0,0.0,0.0,0.0,0.0,79,6,96254.266,1814967,Tyler Forks,"LINESTRING (691945.359933745 5139814, 691941.8606337284 5139826.419720097, 691946.3205134413 5139846.869445569, 691970.879841998 5139875.561289659, 691984.4 5139879.918885697)"
278,79,16122,0,100,122,4,16,109.9565,38.40898,0.0034704988250437684,1289.0958447167582,1,1.0,0.0,0.0,0.0,0.0,80,6,96313.92,1814967,Tyler Forks,"LINESTRING (691984.4 5139879.918885697, 692016.2988471166 5139890.2)"
279,80,15962,0,99,122,4,17,152.7077,38.417015,0.0036699409253586096,1288.714240822446,1,1.0,0.0,0.0,0.0,0.0,81,6,96353.95,1814967,Tyler Forks,"LINESTRING (692016.2988471166 5139890.2, 692060.6 5139904.478422506)"
280,81,15963,0,99,123,4,18,233.04485,38.428806,0.003012037063530773,1288.153812574922,1,1.0,0.0,0.0,0.0,0.0,82,6,96412.74,1814967,Tyler Forks,"LINESTRING (692060.6 5139904.478422506, 692066.5222725524 5139906.387192463, 692080.9912235334 5139932.22493283, 692087.9173240024 5139955.310800551, 692087.5848631515 5139966.4)"
281,82,15803,0,98,123,4,19,250.11234,38.443573,0.0029938839004290123,1287.4518728625671,1,1.0,0.0,0.0,0.0,0.0,83,6,96486.375,1814967,Tyler Forks,"LINESTRING (692087.5848631515 5139966.4, 692085.3003414464 5140042.6)"
282,83,15643,0,97,123,4,20,265.30466,38.459316,0.0017211390931339996,1286.703065568898,1,1.0,0.0,0.0,0.0,0.0,84,6,96564.93,1814967,Tyler Forks,"LINESTRING (692085.3003414464 5140042.6, 692084.5682388365 5140067.019211579, 692073.9581195939 5140081.950932464, 692073.1970571202 5140107.344606388, 692067.6860296606 5140118.8)"
283,84,15483,0,96,123,4,21,48.998734,38.468914,0.00967656619978578,1286.246439352175,1,1.0,0.0,0.0,0.0,0.0,85,6,96612.83,1814967,Tyler Forks,"LINESTRING (692067.6860296606 5140118.8, 692062.3572316096 5140129.876605878, 692060.6 5140131.850912649)"
284,85,15482,0,96,122,4,22,277.3601,38.47888,0.0019696293536167107,1285.7722998635581,1,1.0,0.0,0.0,0.0,0.0,86,6,96662.56,1814967,Tyler Forks,"LINESTRING (692060.6 5140131.850912649, 692004.3941590325 5140195)"
285,86,15322,0,95,122,4,23,98.66559,38.490356,0.0041930084714930016,1285.2260032544577,1,1.0,0.0,0.0,0.0,0.0,87,6,96719.87,1814967,Tyler Forks,"LINESTRING (692004.3941590325 5140195, 691984.4 5140217.46408689)"
286,87,15321,0,95,121,4,24,186.094,38.499046,0.0018373447646958063,1284.8122976065401,1,1.0,0.0,0.0,0.0,0.0,88,6,96763.266,1814967,Tyler Forks,"LINESTRING (691984.4 5140217.46408689, 691980.8420388245 5140221.4615718, 691972.6196166959 5140241.547939674, 691971.718396713 5140271.2)"
287,88,15161,0,94,121,4,25,49.255592,38.506226,0.012331510454919252,1284.4703787806645,1,1.0,0.0,0.0,0.0,0.0,89,6,96799.13,1814967,Tyler Forks,"LINESTRING (691971.718396713 5140271.2, 691971.6936112714 5140272.015493913, 691984.4 5140278.348671465)"
