,b0,b1,b2,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
151,1,6,7,151,"(1, 6, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
152,1,6,8,152,"(1, 6, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
153,1,7,1,153,"(1, 7, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
154,1,7,2,154,"(1, 7, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
155,1,7,3,155,"(1, 7, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
156,1,7,4,156,"(1, 7, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
157,1,7,5,157,"(1, 7, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
158,1,7,6,158,"(1, 7, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
159,1,7,7,159,"(1, 7, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
160,1,7,8,160,"(1, 7, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
161,1,8,1,161,"(1, 8, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
162,1,8,2,162,"(1, 8, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
163,1,8,3,163,"(1, 8, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
164,1,8,4,164,"(1, 8, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
165,1,8,5,165,"(1, 8, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
166,1,8,6,166,"(1, 8, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
167,1,8,7,167,"(1, 8, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
168,1,8,8,168,"(1, 8, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
169,1,9,1,169,"(1, 9, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
170,1,9,2,170,"(1, 9, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
171,1,9,3,171,"(1, 9, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
172,1,9,4,172,"(1, 9, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
173,1,9,5,173,"(1, 9, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
174,1,9,8,174,"(1, 9, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
175,1,9,9,175,"(1, 9, 9)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
176,1,10,1,176,"(1, 10, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
177,1,10,5,177,"(1, 10, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
178,1,10,8,178,"(1, 10, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
179,1,11,0,179,"(1, 11, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
180,1,11,1,180,"(1, 11, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
181,1,11,5,181,"(1, 11, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
182,1,11,6,182,"(1, 11, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
183,1,11,7,183,"(1, 11, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
184,1,11,8,184,"(1, 11, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
185,1,12,0,185,"(1, 12, 0)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
186,1,12,1,186,"(1, 12, 1)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
187,1,12,5,187,"(1, 12, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
188,1,12,6,188,"(1, 12, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
189,1,12,7,189,"(1, 12, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
190,1,12,8,190,"(1, 12, 8)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
191,1,13,1,191,"(1, 13, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
192,1,13,5,192,"(1, 13, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
193,1,13,6,193,"(1, 13, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
194,1,13,7,194,"(1, 13, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
195,1,13,8,195,"(1, 13, 8)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
196,1,14,2,196,"(1, 14, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
197,1,14,3,197,"(1, 14, 3)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
198,1,14,4,198,"(1, 14, 4)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
199,1,14,5,199,"(1, 14, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
